event_id,event_date,event_title,country_name,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count
1168,09/17/2009 12:00:00 AM,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",India,Sikkim,27.1954,88.6115,landslide,rain,medium,,
714,08/14/2008 12:00:00 AM,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",India,Assam,27.163,94.0,landslide,rain,medium,,
6110,06/27/2014 12:00:00 AM,"Bhangagarh, Assam",India,Assam,26.1619,91.7697,landslide,rain,small,3.0,0.0
247,09/08/2007 12:00:00 AM,"Lower Shajouba village near Tadubi along NH 39, Manipur ",India,Manipur,25.0604,93.9877,landslide,rain,medium,,
4407,06/13/2012 12:00:00 AM,"NH44, Malidhor area,  Baleswar",India,Assam,25.0951,92.3567,landslide,downpour,medium,,
6292,09/23/2014 12:00:00 AM,Hatsingimari,India,Assam,25.7238,89.9032,landslide,continuous_rain,small,1.0,0.0
545,05/20/2008 12:00:00 AM,"A Cachar District village, near village of Srinager, Assam",India,Assam,24.9849,92.8411,mudslide,mining,medium,5.0,
7265,07/22/2015 12:00:00 AM,Willong-Yangkhullen stretch,India,Manipur,25.5007,93.9854,landslide,continuous_rain,medium,0.0,0.0
2436,09/16/2010 03:00:00 AM,"Taithu village, Churanchandpur district, Mizoram, Manipur",India,Mizoram,24.3069,93.125,landslide,downpour,medium,0.0,
7727,08/20/2015 06:00:00 PM,between Phesama and Kuima in Nagaland,India,Nagaland,25.6263,94.1057,landslide,continuous_rain,medium,0.0,0.0
7334,08/18/2015 12:00:00 AM,Arunachal Pradesh,India,Arunachal Pradesh,28.1737,94.7596,landslide,unknown,medium,1.0,0.0
6200,08/17/2014 12:00:00 AM,Arunachal Pradesh/Itanagar,India,Arunachal Pradesh,27.0869,93.6086,landslide,downpour,large,0.0,0.0
7778,08/26/2015 12:00:00 AM,Phullen’s main road,India,Mizoram,23.8447,93.0514,mudslide,continuous_rain,medium,0.0,0.0
6290,09/23/2014 03:00:00 AM,Mawbah under Mawprem area,India,Meghalaya,25.5772,91.8666,landslide,continuous_rain,small,8.0,1.0
4403,06/10/2012 12:00:00 AM,"Imphal-Jiribam section of NH-37 , Manipur",India,Manipur,24.8142,93.5444,landslide,downpour,very_large,,
5429,09/01/2013 06:00:00 PM,Tamabong Village In Sikkim State,India,Sikkim,27.3425,88.2426,landslide,downpour,medium,5.0,
2140,07/25/2010 12:00:00 AM,"road between Halfong and Redzol(?) or Silchar, Assam",India,Assam,25.0477,92.801,landslide,downpour,medium,0.0,
9142,06/14/2016 08:00:00 AM,"lower Majakong Ward, Mokokchung, Nagaland, India",India,Nagaland,26.3185,94.5247,landslide,continuous_rain,medium,0.0,0.0
6107,06/26/2014 11:00:00 PM,Bamunimaidam,India,Assam,26.1844,91.7896,landslide,continuous_rain,small,1.0,0.0
255,09/10/2007 12:00:00 AM,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,India,Manipur,24.2451,94.0691,landslide,rain,medium,,
7660,08/12/2015 12:00:00 AM,Phesama village,India,Nagaland,25.6237,94.1136,mudslide,continuous_rain,medium,0.0,0.0
4556,09/16/2012 12:00:00 AM,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",India,Sikkim,27.1675,88.3651,landslide,downpour,medium,,
7389,08/01/2015 12:00:00 AM,between Bongyang and Lokchao along the Imphal-Moreh highway,India,Manipur,24.4072,94.0644,landslide,continuous_rain,medium,0.0,0.0
2437,09/16/2010 12:00:00 AM,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",India,Mizoram,23.7527,92.694,landslide,downpour,medium,0.0,
7371,08/01/2015 12:00:00 AM,near S Lamphei Lamkhai and Sehlon village,India,Manipur,23.9939,94.0573,landslide,continuous_rain,medium,0.0,0.0
7923,09/01/2015 12:00:00 AM,Amingaon,India,Assam,26.49349035,91.72137514,landslide,rain,medium,2.0,0.0
2182,07/31/2010 09:00:00 AM,Dimapur-Imphal highway (NH 39) near Manipur,India,Manipur,24.9356,93.8443,landslide,rain,medium,0.0,
1954,06/07/2010 12:00:00 AM,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",India,Manipur,24.7543,93.5039,landslide,rain,medium,0.0,
6963,06/19/2015 12:00:00 AM,"Muanna locality, Mizoram",India,Mizoram,23.7131,92.7362,landslide,rain,medium,0.0,0.0
7590,08/19/2015 12:00:00 AM,Tongseng,India,Meghalaya,25.1416,92.3807,landslide,rain,small,0.0,0.0
1222,10/05/2009 12:00:00 AM,"Chhinga Veng, Aizawl",India,Mizoram,23.73478778,92.72124394,landslide,downpour,medium,3.0,
8222,06/22/2016 12:00:00 PM,"Piyali Phukan Nagar, Guwahati, India",India,Assam,26.1961,91.7825,mudslide,downpour,medium,1.0,0.0
7706,08/19/2015 12:00:00 AM,National Highway at Kuliang,India,Meghalaya,25.0728,92.3636,landslide,rain,medium,0.0,0.0
9620,10/15/2016 12:00:00 AM,Rangpo,India,Sikkim,27.172,88.5292,landslide,downpour,medium,0.0,0.0
8224,09/14/2015 01:30:00 AM,"Aizawl, Mizoram, India",India,Mizoram,23.7313,92.7187,landslide,downpour,medium,0.0,0.0
4241,03/04/2012 12:00:00 AM,Tamei constituency in Tamenlong district,India,Manipur,25.1604,93.6795,landslide,unknown,medium,0.0,
755,08/28/2008 12:00:00 AM,"Ranka, Sikkim and Louing road",India,Sikkim,27.337,88.609,landslide,downpour,medium,,
1756,04/17/2010 12:00:00 AM,"Nam Nang, Gangtok",India,Sikkim,27.322,88.6087,landslide,downpour,small,0.0,
9334,05/18/2016 08:00:00 AM,"Bilaipur, Hailakandi district, Assam, India",India,Assam,24.5204,92.7264,landslide,continuous_rain,unknown,2.0,0.0
